id,seriesSlug,volume,date,format,confirmed,source
r63,i-have-a-crush-at-work,6,2026-08-25,physical,true,publisher

r64,adachi-and-shimamura,7,2026-07-28,physical,true,publisher
r65,black-summoner,8,2026-07-28,physical,true,publisher
r66,bungo-stray-dogs,27,2026-07-28,physical,true,publisher
r67,chained-soldier,14,2026-07-28,physical,true,publisher
r68,d-n-angel-new-edition,3,2026-07-28,physical,true,publisher
r69,elden-ring-the-road-to-the-erdtree,9,2026-07-28,physical,true,publisher
r70,in-another-world-with-my-smartphone,16,2026-07-28,physical,true,publisher
r71,liar-liar,4,2026-07-28,physical,true,publisher
r72,the-devil-is-a-part-timer,24,2026-07-28,physical,true,publisher
r73,toilet-bound-hanako-kun,24,2026-07-28,physical,true,publisher
r74,uncle-from-another-world,13,2026-07-28,physical,true,publisher
r75,wonder-boy,2,2026-07-28,physical,true,publisher

r76,rent-a-girlfriend,38,2026-08-18,physical,true,publisher

r77,dress-up-darling,1,2020-04-01,physical,true,publisher
r78,dress-up-darling,2,2020-08-01,physical,true,publisher
r79,apothecary-diaries,1,2020-12-01,physical,true,publisher
r80,dress-up-darling,3,2020-12-01,physical,true,publisher
r81,apothecary-diaries,2,2021-02-01,physical,true,publisher
r82,dress-up-darling,4,2021-06-01,physical,true,publisher
r83,apothecary-diaries,3,2021-09-01,physical,true,publisher
r84,apothecary-diaries,4,2022-01-01,physical,true,publisher
r85,dress-up-darling,5,2022-05-01,physical,true,publisher
r86,apothecary-diaries,5,2022-07-01,physical,true,publisher
r87,dress-up-darling,6,2022-08-01,physical,true,publisher
r88,apothecary-diaries,6,2022-09-01,physical,true,publisher
r89,apothecary-diaries,7,2022-12-01,physical,true,publisher
r90,dress-up-darling,7,2023-01-01,physical,true,publisher
r91,dress-up-darling,8,2023-04-01,physical,true,publisher
r92,apothecary-diaries,8,2023-07-01,physical,true,publisher
r93,dress-up-darling,9,2023-07-01,physical,true,publisher
r94,apothecary-diaries,9,2023-08-01,physical,true,publisher
r95,dress-up-darling,10,2023-10-01,physical,true,publisher
r96,apothecary-diaries,10,2023-11-01,physical,true,publisher
r97,apothecary-diaries,11,2024-03-01,physical,true,publisher
r98,dress-up-darling,11,2024-04-01,physical,true,publisher
r99,dress-up-darling,12,2024-10-01,physical,true,publisher
r100,apothecary-diaries,13,2025-03-01,physical,true,publisher
r101,apothecary-diaries,14,2025-10-01,physical,true,publisher
r102,dress-up-darling,14,2025-10-01,physical,true,publisher
r103,apothecary-diaries,15,2026-03-01,physical,true,publisher
r104,dress-up-darling,15,2026-04-01,physical,true,publisher
r105,apothecary-diaries,16,2026-11-01,physical,true,publisher
